time	V(vout2)
Step Information: C=100p R=500  (Step: 1/25)
8.362213004778230e-07	2.127261e+00
8.362823356340730e-07	2.127188e+00
8.362975944231355e-07	2.127170e+00
8.363281120012605e-07	2.127133e+00
8.363891471575105e-07	2.127060e+00
8.364044059465730e-07	2.127042e+00
8.364349235246981e-07	2.127005e+00
8.364959586809480e-07	2.126932e+00
8.365112174700105e-07	2.126914e+00
8.365417350481356e-07	2.126878e+00
8.366027702043855e-07	2.126805e+00
8.366180289934480e-07	2.126786e+00
8.366485465715731e-07	2.126750e+00
8.367095817278230e-07	2.126677e+00
8.368316520403230e-07	2.126531e+00
8.370757926653231e-07	2.126240e+00
8.375640739153230e-07	2.125661e+00
8.385406364153230e-07	2.124496e+00
8.404937614153231e-07	2.122156e+00
8.424468864153231e-07	2.119814e+00
8.444000114153232e-07	2.117487e+00
8.463531364153232e-07	2.115180e+00
8.483062614153233e-07	2.112875e+00
8.502593864153233e-07	2.110595e+00
8.522125114153234e-07	2.108313e+00
8.524566520403234e-07	2.108040e+00
8.529449332903234e-07	2.107475e+00
8.539214957903234e-07	2.106357e+00
8.541656364153234e-07	2.106079e+00
8.546539176653234e-07	2.105520e+00
8.556304801653234e-07	2.104406e+00
8.575836051653234e-07	2.102170e+00
8.595367301653235e-07	2.099935e+00
8.614898551653235e-07	2.097719e+00
8.634429801653236e-07	2.095517e+00
8.653961051653236e-07	2.093326e+00
8.673492301653237e-07	2.091151e+00
8.693023551653237e-07	2.088985e+00
8.695464957903238e-07	2.088720e+00
8.700347770403237e-07	2.088184e+00
8.701568473528237e-07	2.088051e+00
8.704009879778238e-07	2.087784e+00
8.708892692278237e-07	2.087245e+00
8.718658317278238e-07	2.086168e+00
8.738189567278238e-07	2.084027e+00
8.757720817278239e-07	2.081893e+00
8.777252067278239e-07	2.079782e+00
8.796783317278239e-07	2.077688e+00
8.816314567278240e-07	2.075602e+00
8.835845817278240e-07	2.073537e+00
8.855377067278241e-07	2.071480e+00
8.874908317278241e-07	2.069439e+00
8.894439567278242e-07	2.067413e+00
8.913970817278242e-07	2.065394e+00
8.933502067278243e-07	2.063397e+00
8.935943473528243e-07	2.063148e+00
8.940826286028243e-07	2.062653e+00
8.950591911028243e-07	2.061672e+00
8.970123161028243e-07	2.059699e+00
8.989654411028244e-07	2.057728e+00
9.009185661028244e-07	2.055775e+00
9.011627067278245e-07	2.055535e+00
9.016509879778244e-07	2.055052e+00
9.026275504778245e-07	2.054093e+00
9.045806754778245e-07	2.052169e+00
9.048248161028245e-07	2.051929e+00
9.053130973528245e-07	2.051448e+00
